Student_ID,Application_ID,Registration_Code,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
ST202601296,APP1002719,REG-IALQ2,Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,,"Personal Services, Security and Safety Workers and Sellers",131.0,Yes,No,No,Yes,female,No,21,No,0,6,12,3,11.0,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,Dropout
ST202602270,APP1003436,REG-C581L,Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,128.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,124.3,Yes,No,No,Yes,Female,Yes,19,No,0,7,8,7,13.46875,0,0,8,8,8,13.31375,0,15.5,2.8,-4.06,Graduate
ST202601867,APP1000177,REG-YC1CQ,Single,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",130.0,Yes,No,No,Yes,Female,No,28,No,0,5,13,4,11.25,1,0,5,11,4,10.5,0,12.7,3.7,-1.7,Enrolled
ST202602874,APP1002210,REG-BHLF8,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,124.5,No,No,No,Yes,Female,Yes,18,No,0,6,11,5,11.142857142857142,0,0,6,8,6,12.285714285714286,0,16.2,0.3,-0.92,Graduate
ST202602064,APP1002110,REG-B6SCI,Single,Change of course,1,Social Service (evening attendance),Evening,Secondary education,148.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,134.7,No,No,No,Yes,Female,No,23,No,9,13,15,9,11.0,0,4,11,12,7,11.571428571428571,0,15.5,2.8,-4.06,Enrolled
ST202601179,APP1003015,REG-NKP30,Married,Holders of other higher courses,1,Social Service,Daytime,Higher education - degree,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Cleaning workers,"Unskilled workers in agriculture, animal production, fisheries and forestry",150.0,No,No,No,Yes,FEMALE,No,31,No,1,6,12,5,12.5,0,0,6,10,5,14.6,0,12.7,3.7,-1.7,Graduate
ST202603172,APP1004351,REG-KYBUX,Single,2nd phase - general contingent,5,Tourism,Daytime,Secondary education,113.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,110.2,Yes,No,No,Yes,Male,No,21,No,0,6,10,4,11.5,0,0,6,10,2,10.5,0,9.4,-0.8,-3.12,Dropout
ST202600998,APP1001586,REG-VG21C,Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,148.5,No,No,No,Yes,Male,No,34,NO,0,6,6,4,12.25,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
ST202600900,APP1001256,REG-H9K20,Single,2nd phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,115.0,No,No,No,No,Female,No,20,No,0,5,8,2,10.5,0,0,5,8,2,12.333333333333334,0,7.6,2.6,0.32,Dropout
ST202601575,APP1000463,REG-NTIML,Single,Over 23 years old,2,Social Service (evening attendance),Evening,Secondary education,141.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,150.5,No,No,No,Yes,Female,no,29,No,0,6,7,6,13.166666666666666,0,0,6,8,6,15.625,0,12.4,0.5,1.79,Graduate
ST202604093,APP1002544,REG-M40DM,Single,2nd phase - general contingent,3,Veterinary Nursing,Daytime,Secondary education,134.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.4,Yes,No,No,Yes,Female,No,20,No,0,5,13,3,11.333333333333334,2,0,5,8,5,12.6,0,9.4,-0.8,-3.12,Enrolled
ST202600236,APP1003438,REG-D309H,Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,150.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,140.9,No,Yes,No,Yes,Female,No,24,No,0,5,7,3,10.666666666666666,0,0,5,7,3,10.5,0,10.8,1.4,1.74,Dropout
ST202601657,APP1003638,REG-I1S2Q,Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",140.0,No,NO,No,No,Female,No,37,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
ST202603797,APP1000616,REG-SVWE8,Married,Over 23 years old,1,Management,Daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,142.5,No,No,No,Yes,Female,No,60,N,0,5,8,4,11.25,0,0,5,8,4,11.5,0,11.1,0.6,2.02,Enrolled
ST202602174,APP1003036,REG-A74TB,Single,Over 23 years old,2,Management (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,,Unskilled Workers,102.5,No,N,No,No,Male,No,27,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
ST202602175,APP1002741,REG-UC1JL,Single,1st phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,163.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,150.8,Yes,NO,No,Yes,Male,No,18,No,0,5,9,4,10.5,0,0,5,11,2,10.5,3,7.6,2.6,0.32,Enrolled
ST202600747,APP1004310,REG-TJXYO,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,,Administrative staff,Administrative staff,119.8,Yes,N,No,Yes,Female,Yes,19,No,0,8,8,8,12.82875,0,0,8,8,8,12.82875,0,9.4,-0.8,-3.12,Graduate
ST202603917,APP1003827,REG-JOG85,Single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,133.1,Portuguese,Higher Education - Degree,Higher Education - Doctorate,Student,Specialists in Intellectual and Scientific Activities,125.8,Yes,No,No,No,M,Yes,22,No,0,4,8,0,0.0,0,0,4,8,0,0.0,0,7.6,2.6,0.32,Dropout
ST202600640,APP1001590,REG-FRQA9,Married,Over 23 years old,1,Nursing,Daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",110.5,No,No,No,Yes,Female,No,31,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout
ST202601442,APP1000355,REG-XUT6F,Single,3rd phase - general contingent,1,Nursing,Daytime,Secondary education,128.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,125.8,No,No,No,Yes,FEMALE,Yes,20,No,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled
ST202604288,APP1000628,REG-GZP97,Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher education - degree (1st cycle),Unskilled Workers,Specialists in Intellectual and Scientific Activities,129.6,No,No,No,Yes,female,Yes,19,No,0,6,7,6,11.333333333333334,0,0,6,7,6,12.428571428571429,0,11.1,0.6,2.02,Graduate
ST202602797,APP1003660,REG-ZDHSZ,Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.0,No,No,No,Yes,Male,No,32,N,12,18,25,18,13.736842105263158,0,10,13,15,12,13.75,1,15.5,2.8,-4.06,Graduate
ST202600203,APP1001523,REG-SWHS1,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,133.1,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,105.0,Yes,No,No,Yes,Male,No,21,No,0,6,15,3,11.25,0,0,6,9,0,0.0,0,12.4,0.5,1.79,Enrolled
ST202600149,APP1001440,REG-K8JOC,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",135.0,No,No,No,Yes,Female,No,19,No,0,7,7,6,14.266666666666666,0,0,7,7,6,14.266666666666666,0,7.6,2.6,0.32,Graduate
ST202600103,APP1000593,REG-G7DPF,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,148.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",141.7,No,No,No,Yes,Female,Yes,18,No,0,6,8,5,13.4,0,0,6,7,6,13.166666666666666,0,9.4,-0.8,-3.12,Graduate
ST202602738,APP1001745,REG-DUBYG,Single,Short cycle diploma holders,1,Social Service,Daytime,Professional higher technical course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",128.3,No,No,Yes,No,Female,No,23,No,5,9,12,7,13.571428571428571,0,4,9,14,4,13.25,0,8.9,1.4,3.51,Dropout
ST202601677,APP1003402,REG-JNHIE,Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Higher education - degree,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.0,No,No,No,Yes,FEMALE,Yes,43,No,0,6,7,5,12.2,0,0,6,6,6,12.333333333333334,0,9.4,-0.8,-3.12,Graduate
ST202603475,APP1003518,REG-ED7YX,Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary education,141.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,127.3,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,6,13.8,0,0,7,7,6,13.8,0,7.6,2.6,0.32,Graduate
ST202601545,APP1000067,REG-TPUWS,Single,Over 23 years old,1,Management (evening attendance),Evening,Higher education - degree,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,141.0,No,No,No,Yes,Female,No,29,No,10,15,15,11,11.454545454545457,0,9,13,16,11,11.545454545454543,0,10.8,1.4,1.74,Dropout
ST202603677,APP1003378,REG-JKIV9,Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,135.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,137.1,Yes,No,No,Yes,F,No,18,No,0,6,8,6,12.0,0,0,6,8,5,14.8,0,12.4,0.5,1.79,Graduate
ST202601555,APP1003786,REG-ZBMTH,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140.0,Portuguese,,,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140.0,Yes,No,No,Yes,Male,No,22,No,0,6,12,5,12.6,0,0,6,11,6,11.714285714285714,0,12.4,0.5,1.79,Graduate
ST202601220,APP1004207,REG-NIEHC,single,2nd phase - general contingent,2,Communication Design,Daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,123.7,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate
ST202600986,APP1000738,REG-JF9W5,Single,Holders of other higher courses,1,Agronomy,Daytime,Higher education - degree,140.0,Portuguese,Technological specialization course,Technological specialization course,Unskilled Workers,Administrative staff,140.0,No,No,No,Yes,MALE,No,50,No,2,6,8,2,13.5,0,1,6,9,1,13.0,0,15.5,2.8,-4.06,Dropout
ST202602105,APP1000551,REG-HNXMF,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,154.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,,140.4,No,No,No,Yes,Female,Yes,22,No,0,6,6,5,12.6,0,0,6,6,6,13.0,0,10.8,1.4,1.74,Graduate
ST202600072,APP1000055,REG-T423H,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,136.7,Yes,No,No,Yes,FEMALE,Yes,18,No,0,6,6,6,13.833333333333334,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Dropout
ST202603613,APP1001841,REG-KX2N5,single,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,120.0,No,No,Yes,No,Male,No,31,No,0,5,13,4,13.5,1,0,5,12,3,11.666666666666666,1,9.4,-0.8,-3.12,Dropout
ST202602530,APP1003734,REG-W5325,Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,144.1,Yes,No,No,Yes,Male,Yes,19,no,0,6,7,6,13.666666666666666,0,0,6,6,6,13.833333333333334,0,12.7,3.7,-1.7,Graduate
ST202602383,APP1003539,REG-VVTL1,single,Over 23 years old,1,Tourism,Daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",101.0,No,No,Yes,Yes,Female,No,25,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
ST202600161,APP1003607,REG-YDCBH,Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,-10.0,Brazilian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",163.1,Yes,No,No,No,Female,No,19,Yes,6,12,12,12,15.25,0,4,11,12,11,15.0,0,8.9,1.4,3.51,Graduate
ST202601830,APP1000231,REG-LJZ80,single,2nd phase - general contingent,1,Equinculture,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",122.5,No,No,No,Yes,Male,No,19,No,0,5,11,4,12.0,1,0,5,9,5,12.6,0,9.4,-0.8,-3.12,Graduate
ST202603678,APP1002910,REG-XB9W5,Single,Transfer,1,Informatics Engineering,Daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",117.5,No,No,No,Yes,Male,No,19,No,2,5,6,4,11.8,0,0,5,7,2,11.5,0,15.5,2.8,-4.06,Enrolled
ST202601305,APP1002936,REG-KC1Y5,Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,129.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",127.8,Yes,No,No,Yes,Female,No,19,No,0,8,10,6,13.78,1,0,8,10,6,13.78,1,9.4,-0.8,-3.12,Dropout
ST202603348,APP1003253,REG-EE8E5,Single,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other Situation,Other Situation,122.0,No,No,No,Yes,Female,No,20,No,0,5,6,5,12.6,0,0,5,8,4,12.333333333333334,0,7.6,2.6,0.32,Graduate
ST202604107,APP1003576,REG-P4ISO,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,Unskilled Workers,Administrative staff,133.2,Yes,No,No,Yes,FEMALE,No,19,No,0,6,6,6,14.166666666666666,0,0,6,7,6,13.666666666666666,0,7.6,2.6,0.32,Graduate
ST202602224,APP1000239,REG-JNV9I,Single,2nd phase - general contingent,4,Tourism,Daytime,Secondary education,113.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",107.4,Yes,No,No,Yes,Female,Yes,19,No,0,6,6,6,12.166666666666666,0,0,6,6,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
ST202603890,APP1001975,REG-ETY3A,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",160.0,No,No,No,Yes,Female,Yes,20,No,0,6,8,6,12.625,0,0,6,10,6,13.2,0,16.2,0.3,-0.92,Graduate
ST202601518,APP1000191,REG-QZ940,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Administrative staff,116.7,No,No,No,Yes,Female,N,20,No,0,5,12,3,12.333333333333334,2,0,5,8,3,13.0,1,9.4,-0.8,-3.12,Graduate
ST202604131,APP1000323,REG-E5JTV,Single,2nd phase - general contingent,3,Social Service,Daytime,Secondary education,143.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,"Skilled Workers in Industry, Construction and Craftsmen",126.9,Yes,No,No,Yes,female,No,18,No,0,6,14,5,11.0,0,0,6,6,6,11.666666666666666,0,7.6,2.6,0.32,Graduate
ST202601104,APP1000849,REG-ET4I2,Single,Over 23 years old,1,Management,Daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110.0,No,No,No,No,Male,No,32,No,0,5,9,0,0.0,1,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202602241,APP1000885,REG-UPTHO,Single,1st phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,122.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",116.1,Yes,No,No,Yes,FEMALE,No,18,No,0,6,13,6,13.153846153846152,0,0,6,12,3,11.0,0,15.5,2.8,-4.06,Graduate
ST202603799,APP1000134,REG-NKA1C,Single,1st phase - special contingent (Madeira Island),2,Social Service,Daytime,Secondary education,126.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",,Yes,No,No,Yes,Female,Yes,19,No,0,6,14,3,12.666666666666666,0,0,6,7,6,11.0,0,9.4,-0.8,-3.12,Graduate
ST202600786,APP1004204,REG-MBEXG,Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,123.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,113.6,Yes,No,No,Yes,Female,No,21,NO,0,7,8,7,14.69625,0,0,8,9,8,14.622222222222224,0,12.4,0.5,1.79,Graduate
ST202603317,APP1000378,REG-GRY8X,Facto union,Change of course,1,Management (evening attendance),Evening,Higher education - degree,130.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",130.0,No,No,No,Yes,Female,No,41,NO,5,10,14,10,14.636363636363637,0,5,10,13,10,14.6,0,16.2,0.3,-0.92,Graduate
ST202602256,APP1002058,REG-TG8W8,Single,1st phase - general contingent,5,Nursing,Daytime,Secondary education,101.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,102.4,No,No,No,Yes,Female,No,20,N,0,7,9,5,12.04,0,0,7,9,6,11.77142857142857,0,12.4,0.5,1.79,Enrolled
ST202603921,APP1000553,REG-FX6R1,Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",119.0,No,No,No,Yes,Male,No,39,No,3,9,10,9,13.22222222222222,0,2,7,8,7,13.142857142857142,0,8.9,1.4,3.51,Graduate
ST202601496,APP1000198,REG-TUTX7,Single,2nd phase - general contingent,1,Communication Design,Daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Student,133.3,Yes,No,No,Yes,Male,No,18,No,0,6,7,5,10.8,1,0,6,6,0,0.0,0,7.6,2.6,0.32,Dropout
ST202600670,APP1000281,REG-EACEP,Single,Over 23 years old,1,Management (evening attendance),Evening,,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,121.8,No,No,No,No,Male,No,36,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
ST202603347,APP1003367,REG-XQ0I9,Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,116.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,119.9,Yes,No,No,Yes,Female,NO,20,No,0,6,6,6,12.333333333333334,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
ST202600409,APP1002312,REG-DEZAC,Single,1st phase - general contingent,2,Communication Design,Daytime,Secondary education,128.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,123.5,Yes,N,No,Yes,Male,Yes,21,No,0,6,6,6,13.166666666666666,0,0,6,8,6,13.285714285714286,0,8.9,1.4,3.51,Graduate
ST202601532,APP1001837,REG-B45BN,Single,Change of course,1,Management,Daytime,Secondary education,151.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",111.0,No,No,No,Yes,Male,No,28,NO,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Dropout
ST202604239,APP1002371,REG-U0J1O,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,120.0,Portuguese,Higher Education - Degree,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",115.1,Yes,No,No,Yes,FEMALE,Yes,19,No,0,7,8,6,13.075,0,0,8,10,7,12.05,0,12.4,0.5,1.79,Graduate
ST202601208,APP1001259,REG-ZEE2A,Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,126.3,Yes,No,No,Yes,F,Yes,19,No,3,6,7,5,12.2,0,2,6,6,6,11.5,0,13.9,-0.3,0.79,Graduate
ST202602393,APP1003919,REG-WE7L7,SINGLE,Change of course,2,Journalism and Communication,Daytime,Secondary education,120.0,Portuguese,Unknown,Unknown,Student,Student,,Yes,No,No,Yes,Female,No,27,No,4,8,11,7,13.285714285714286,0,4,7,13,5,11.6,0,9.4,-0.8,-3.12,Dropout
ST202602268,APP1002768,REG-U48F3,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,101.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,98.9,Yes,No,No,Yes,Female,No,21,NO,0,6,12,4,12.5,0,0,6,13,2,12.666666666666666,0,11.1,0.6,2.02,Enrolled
